Epoch 1/100000, Tr Loss: 0.6796, Tr Acc: 57.1429, Val Loss: 0.7102, Val Acc: 50.0000
Epoch 101/100000, Tr Loss: 0.6516, Tr Acc: 50.0000, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 201/100000, Tr Loss: 0.7412, Tr Acc: 35.7143, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 301/100000, Tr Loss: 0.9310, Tr Acc: 35.7143, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 401/100000, Tr Loss: 0.7593, Tr Acc: 57.1429, Val Loss: 0.6683, Val Acc: 66.6667
Epoch 501/100000, Tr Loss: 0.7484, Tr Acc: 35.7143, Val Loss: 0.6684, Val Acc: 83.3333
Epoch 601/100000, Tr Loss: 0.8008, Tr Acc: 50.0000, Val Loss: 0.6698, Val Acc: 50.0000
Epoch 701/100000, Tr Loss: 0.6855, Tr Acc: 64.2857, Val Loss: 0.6687, Val Acc: 83.3333
Epoch 801/100000, Tr Loss: 0.8156, Tr Acc: 35.7143, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 901/100000, Tr Loss: 0.7443, Tr Acc: 42.8571, Val Loss: 0.6686, Val Acc: 83.3333
Epoch 1001/100000, Tr Loss: 0.6121, Tr Acc: 64.2857, Val Loss: 0.6693, Val Acc: 83.3333
Epoch 1101/100000, Tr Loss: 0.6438, Tr Acc: 57.1429, Val Loss: 0.6702, Val Acc: 83.3333
Epoch 1201/100000, Tr Loss: 0.7223, Tr Acc: 50.0000, Val Loss: 0.6693, Val Acc: 83.3333
Epoch 1301/100000, Tr Loss: 0.7045, Tr Acc: 50.0000, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 1401/100000, Tr Loss: 0.7559, Tr Acc: 50.0000, Val Loss: 0.6689, Val Acc: 83.3333
Epoch 1501/100000, Tr Loss: 0.9506, Tr Acc: 42.8571, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 1601/100000, Tr Loss: 0.7596, Tr Acc: 57.1429, Val Loss: 0.6691, Val Acc: 66.6667
Epoch 1701/100000, Tr Loss: 0.7279, Tr Acc: 50.0000, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 1801/100000, Tr Loss: 0.7236, Tr Acc: 42.8571, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 1901/100000, Tr Loss: 0.7765, Tr Acc: 35.7143, Val Loss: 0.6698, Val Acc: 66.6667
Epoch 2001/100000, Tr Loss: 0.9255, Tr Acc: 21.4286, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 2101/100000, Tr Loss: 0.8326, Tr Acc: 42.8571, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 2201/100000, Tr Loss: 0.7600, Tr Acc: 35.7143, Val Loss: 0.6693, Val Acc: 66.6667
Epoch 2301/100000, Tr Loss: 0.8129, Tr Acc: 28.5714, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 2401/100000, Tr Loss: 0.7749, Tr Acc: 50.0000, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 2501/100000, Tr Loss: 0.6662, Tr Acc: 71.4286, Val Loss: 0.6691, Val Acc: 66.6667
Epoch 2601/100000, Tr Loss: 0.7300, Tr Acc: 35.7143, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 2701/100000, Tr Loss: 0.6778, Tr Acc: 50.0000, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 2801/100000, Tr Loss: 0.7314, Tr Acc: 50.0000, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 2901/100000, Tr Loss: 0.6315, Tr Acc: 64.2857, Val Loss: 0.6695, Val Acc: 66.6667
Epoch 3001/100000, Tr Loss: 0.6491, Tr Acc: 64.2857, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 3101/100000, Tr Loss: 0.7771, Tr Acc: 42.8571, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 3201/100000, Tr Loss: 0.6286, Tr Acc: 71.4286, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 3301/100000, Tr Loss: 0.9491, Tr Acc: 42.8571, Val Loss: 0.6680, Val Acc: 66.6667
Epoch 3401/100000, Tr Loss: 0.6748, Tr Acc: 64.2857, Val Loss: 0.6679, Val Acc: 66.6667
Epoch 3501/100000, Tr Loss: 0.7797, Tr Acc: 42.8571, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 3601/100000, Tr Loss: 0.7795, Tr Acc: 42.8571, Val Loss: 0.6677, Val Acc: 66.6667
Epoch 3701/100000, Tr Loss: 0.7582, Tr Acc: 35.7143, Val Loss: 0.6691, Val Acc: 66.6667
Epoch 3801/100000, Tr Loss: 0.6529, Tr Acc: 57.1429, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 3901/100000, Tr Loss: 0.7752, Tr Acc: 42.8571, Val Loss: 0.6675, Val Acc: 66.6667
Epoch 4001/100000, Tr Loss: 0.6844, Tr Acc: 57.1429, Val Loss: 0.6692, Val Acc: 66.6667
Epoch 4101/100000, Tr Loss: 0.8207, Tr Acc: 57.1429, Val Loss: 0.6683, Val Acc: 66.6667
Epoch 4201/100000, Tr Loss: 0.6746, Tr Acc: 50.0000, Val Loss: 0.6690, Val Acc: 66.6667
Epoch 4301/100000, Tr Loss: 0.6985, Tr Acc: 50.0000, Val Loss: 0.6681, Val Acc: 66.6667
Epoch 4401/100000, Tr Loss: 0.5224, Tr Acc: 78.5714, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 4501/100000, Tr Loss: 0.7030, Tr Acc: 64.2857, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 4601/100000, Tr Loss: 0.7725, Tr Acc: 57.1429, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 4701/100000, Tr Loss: 0.7465, Tr Acc: 64.2857, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 4801/100000, Tr Loss: 0.6236, Tr Acc: 57.1429, Val Loss: 0.6678, Val Acc: 66.6667
Epoch 4901/100000, Tr Loss: 0.7717, Tr Acc: 35.7143, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 5001/100000, Tr Loss: 0.5971, Tr Acc: 64.2857, Val Loss: 0.6682, Val Acc: 66.6667
Epoch 5101/100000, Tr Loss: 0.6812, Tr Acc: 64.2857, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 5201/100000, Tr Loss: 0.6309, Tr Acc: 57.1429, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 5301/100000, Tr Loss: 0.5503, Tr Acc: 71.4286, Val Loss: 0.6685, Val Acc: 66.6667
Epoch 5401/100000, Tr Loss: 0.6029, Tr Acc: 78.5714, Val Loss: 0.6678, Val Acc: 66.6667
Epoch 5501/100000, Tr Loss: 0.6524, Tr Acc: 57.1429, Val Loss: 0.6688, Val Acc: 66.6667
Epoch 5601/100000, Tr Loss: 0.5894, Tr Acc: 71.4286, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 5701/100000, Tr Loss: 0.7235, Tr Acc: 50.0000, Val Loss: 0.6694, Val Acc: 66.6667
Epoch 5801/100000, Tr Loss: 0.6208, Tr Acc: 50.0000, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 5901/100000, Tr Loss: 0.7671, Tr Acc: 35.7143, Val Loss: 0.6686, Val Acc: 66.6667
Epoch 6001/100000, Tr Loss: 0.6460, Tr Acc: 57.1429, Val Loss: 0.6689, Val Acc: 66.6667
Epoch 6101/100000, Tr Loss: 0.5684, Tr Acc: 64.2857, Val Loss: 0.6687, Val Acc: 66.6667
Epoch 6201/100000, Tr Loss: 0.7062, Tr Acc: 42.8571, Val Loss: 0.6682, Val Acc: 66.6667
