
Epoch 1/100000, Tr Loss: 0.7886, Tr Acc: 47.1429, Val Loss: 0.7199, Val Acc: 50.0000
Epoch 101/100000, Tr Loss: 0.8125, Tr Acc: 48.5714, Val Loss: 0.7212, Val Acc: 36.6667
Epoch 201/100000, Tr Loss: 0.7380, Tr Acc: 50.0000, Val Loss: 0.7212, Val Acc: 36.6667
Epoch 301/100000, Tr Loss: 0.7434, Tr Acc: 51.4286, Val Loss: 0.7210, Val Acc: 36.6667
Epoch 401/100000, Tr Loss: 0.7347, Tr Acc: 50.0000, Val Loss: 0.7212, Val Acc: 36.6667
Epoch 501/100000, Tr Loss: 0.6985, Tr Acc: 50.0000, Val Loss: 0.7210, Val Acc: 40.0000
Epoch 601/100000, Tr Loss: 0.8491, Tr Acc: 41.4286, Val Loss: 0.7212, Val Acc: 40.0000
Epoch 701/100000, Tr Loss: 0.8048, Tr Acc: 41.4286, Val Loss: 0.7213, Val Acc: 40.0000
Epoch 801/100000, Tr Loss: 0.7445, Tr Acc: 51.4286, Val Loss: 0.7213, Val Acc: 40.0000
Epoch 901/100000, Tr Loss: 0.7372, Tr Acc: 54.2857, Val Loss: 0.7212, Val Acc: 40.0000
Epoch 1001/100000, Tr Loss: 0.7823, Tr Acc: 45.7143, Val Loss: 0.7214, Val Acc: 40.0000
Epoch 1101/100000, Tr Loss: 0.7956, Tr Acc: 51.4286, Val Loss: 0.7213, Val Acc: 40.0000
Epoch 1201/100000, Tr Loss: 0.7245, Tr Acc: 51.4286, Val Loss: 0.7213, Val Acc: 40.0000
Epoch 1301/100000, Tr Loss: 0.7586, Tr Acc: 54.2857, Val Loss: 0.7215, Val Acc: 40.0000
Epoch 1401/100000, Tr Loss: 0.8061, Tr Acc: 50.0000, Val Loss: 0.7215, Val Acc: 40.0000
Epoch 1501/100000, Tr Loss: 0.7024, Tr Acc: 48.5714, Val Loss: 0.7216, Val Acc: 40.0000
