
Epoch 1/100000, Tr Loss: 0.7916, Tr Acc: 50.0000, Val Loss: 0.7083, Val Acc: 46.6667
Epoch 101/100000, Tr Loss: 0.7456, Tr Acc: 52.8571, Val Loss: 0.7063, Val Acc: 40.0000
Epoch 201/100000, Tr Loss: 0.7199, Tr Acc: 47.1429, Val Loss: 0.7062, Val Acc: 46.6667
Epoch 301/100000, Tr Loss: 0.7448, Tr Acc: 44.2857, Val Loss: 0.7062, Val Acc: 50.0000
Epoch 401/100000, Tr Loss: 0.7710, Tr Acc: 45.7143, Val Loss: 0.7059, Val Acc: 50.0000
Epoch 501/100000, Tr Loss: 0.7247, Tr Acc: 55.7143, Val Loss: 0.7058, Val Acc: 50.0000
Epoch 601/100000, Tr Loss: 0.7799, Tr Acc: 51.4286, Val Loss: 0.7058, Val Acc: 50.0000
Epoch 701/100000, Tr Loss: 0.6675, Tr Acc: 61.4286, Val Loss: 0.7060, Val Acc: 50.0000
Epoch 801/100000, Tr Loss: 0.6756, Tr Acc: 64.2857, Val Loss: 0.7060, Val Acc: 50.0000
Epoch 901/100000, Tr Loss: 0.7218, Tr Acc: 51.4286, Val Loss: 0.7061, Val Acc: 50.0000
Epoch 1001/100000, Tr Loss: 0.7687, Tr Acc: 41.4286, Val Loss: 0.7060, Val Acc: 50.0000
Epoch 1101/100000, Tr Loss: 0.7020, Tr Acc: 54.2857, Val Loss: 0.7063, Val Acc: 50.0000
Epoch 1201/100000, Tr Loss: 0.8001, Tr Acc: 40.0000, Val Loss: 0.7063, Val Acc: 50.0000
Epoch 1301/100000, Tr Loss: 0.7121, Tr Acc: 54.2857, Val Loss: 0.7063, Val Acc: 50.0000
Epoch 1401/100000, Tr Loss: 0.7920, Tr Acc: 41.4286, Val Loss: 0.7066, Val Acc: 53.3333
Epoch 1501/100000, Tr Loss: 0.7488, Tr Acc: 52.8571, Val Loss: 0.7066, Val Acc: 46.6667
Epoch 1601/100000, Tr Loss: 0.6873, Tr Acc: 60.0000, Val Loss: 0.7067, Val Acc: 46.6667
Epoch 1701/100000, Tr Loss: 0.7868, Tr Acc: 48.5714, Val Loss: 0.7069, Val Acc: 46.6667
Epoch 1801/100000, Tr Loss: 0.6839, Tr Acc: 55.7143, Val Loss: 0.7071, Val Acc: 46.6667
Epoch 1901/100000, Tr Loss: 0.7971, Tr Acc: 48.5714, Val Loss: 0.7071, Val Acc: 50.0000
Epoch 2001/100000, Tr Loss: 0.7773, Tr Acc: 45.7143, Val Loss: 0.7074, Val Acc: 53.3333
Epoch 2101/100000, Tr Loss: 0.7735, Tr Acc: 51.4286, Val Loss: 0.7075, Val Acc: 53.3333
Epoch 2201/100000, Tr Loss: 0.7110, Tr Acc: 50.0000, Val Loss: 0.7077, Val Acc: 53.3333
Epoch 2301/100000, Tr Loss: 0.7057, Tr Acc: 48.5714, Val Loss: 0.7078, Val Acc: 53.3333
Epoch 2401/100000, Tr Loss: 0.6993, Tr Acc: 54.2857, Val Loss: 0.7080, Val Acc: 53.3333
Epoch 2501/100000, Tr Loss: 0.7028, Tr Acc: 58.5714, Val Loss: 0.7080, Val Acc: 53.3333
Epoch 2601/100000, Tr Loss: 0.7048, Tr Acc: 57.1429, Val Loss: 0.7084, Val Acc: 53.3333
Epoch 2701/100000, Tr Loss: 0.7186, Tr Acc: 52.8571, Val Loss: 0.7085, Val Acc: 53.3333
Epoch 2801/100000, Tr Loss: 0.6689, Tr Acc: 60.0000, Val Loss: 0.7087, Val Acc: 53.3333
Epoch 2901/100000, Tr Loss: 0.6344, Tr Acc: 65.7143, Val Loss: 0.7085, Val Acc: 53.3333
Epoch 3001/100000, Tr Loss: 0.7852, Tr Acc: 52.8571, Val Loss: 0.7088, Val Acc: 53.3333
Epoch 3101/100000, Tr Loss: 0.7337, Tr Acc: 52.8571, Val Loss: 0.7093, Val Acc: 53.3333
Epoch 3201/100000, Tr Loss: 0.7156, Tr Acc: 47.1429, Val Loss: 0.7091, Val Acc: 53.3333
Epoch 3301/100000, Tr Loss: 0.7460, Tr Acc: 50.0000, Val Loss: 0.7094, Val Acc: 53.3333
Epoch 3401/100000, Tr Loss: 0.6176, Tr Acc: 64.2857, Val Loss: 0.7095, Val Acc: 53.3333
Epoch 3501/100000, Tr Loss: 0.6835, Tr Acc: 61.4286, Val Loss: 0.7097, Val Acc: 53.3333
Epoch 3601/100000, Tr Loss: 0.8139, Tr Acc: 40.0000, Val Loss: 0.7099, Val Acc: 53.3333
Epoch 3701/100000, Tr Loss: 0.7406, Tr Acc: 50.0000, Val Loss: 0.7100, Val Acc: 53.3333
Epoch 3801/100000, Tr Loss: 0.7192, Tr Acc: 44.2857, Val Loss: 0.7101, Val Acc: 53.3333
Epoch 3901/100000, Tr Loss: 0.7227, Tr Acc: 61.4286, Val Loss: 0.7102, Val Acc: 53.3333
Epoch 4001/100000, Tr Loss: 0.8274, Tr Acc: 44.2857, Val Loss: 0.7104, Val Acc: 53.3333
Epoch 4101/100000, Tr Loss: 0.7018, Tr Acc: 58.5714, Val Loss: 0.7106, Val Acc: 53.3333
Epoch 4201/100000, Tr Loss: 0.7205, Tr Acc: 57.1429, Val Loss: 0.7107, Val Acc: 53.3333
Epoch 4301/100000, Tr Loss: 0.6395, Tr Acc: 65.7143, Val Loss: 0.7111, Val Acc: 53.3333
Epoch 4401/100000, Tr Loss: 0.6370, Tr Acc: 65.7143, Val Loss: 0.7109, Val Acc: 50.0000
Epoch 4501/100000, Tr Loss: 0.6660, Tr Acc: 60.0000, Val Loss: 0.7111, Val Acc: 50.0000
Epoch 4601/100000, Tr Loss: 0.7216, Tr Acc: 60.0000, Val Loss: 0.7116, Val Acc: 50.0000
