
Epoch 1/100000, Tr Loss: 0.7696, Tr Acc: 55.7143, Val Loss: 0.7011, Val Acc: 36.6667
Epoch 101/100000, Tr Loss: 0.8291, Tr Acc: 47.1429, Val Loss: 0.7117, Val Acc: 50.0000
Epoch 201/100000, Tr Loss: 0.7859, Tr Acc: 51.4286, Val Loss: 0.7107, Val Acc: 50.0000
Epoch 301/100000, Tr Loss: 0.8461, Tr Acc: 44.2857, Val Loss: 0.7088, Val Acc: 50.0000
Epoch 401/100000, Tr Loss: 0.8196, Tr Acc: 51.4286, Val Loss: 0.7075, Val Acc: 50.0000
Epoch 501/100000, Tr Loss: 0.8814, Tr Acc: 45.7143, Val Loss: 0.7061, Val Acc: 50.0000
Epoch 601/100000, Tr Loss: 0.8704, Tr Acc: 50.0000, Val Loss: 0.7050, Val Acc: 50.0000
Epoch 701/100000, Tr Loss: 0.8405, Tr Acc: 35.7143, Val Loss: 0.7040, Val Acc: 50.0000
Epoch 801/100000, Tr Loss: 0.7840, Tr Acc: 54.2857, Val Loss: 0.7033, Val Acc: 50.0000
Epoch 901/100000, Tr Loss: 0.8944, Tr Acc: 44.2857, Val Loss: 0.7022, Val Acc: 50.0000
Epoch 1001/100000, Tr Loss: 0.7640, Tr Acc: 44.2857, Val Loss: 0.7014, Val Acc: 50.0000
Epoch 1101/100000, Tr Loss: 0.8147, Tr Acc: 50.0000, Val Loss: 0.7007, Val Acc: 50.0000
Epoch 1201/100000, Tr Loss: 0.7866, Tr Acc: 47.1429, Val Loss: 0.7001, Val Acc: 50.0000
Epoch 1301/100000, Tr Loss: 0.8107, Tr Acc: 45.7143, Val Loss: 0.6992, Val Acc: 50.0000
Epoch 1401/100000, Tr Loss: 0.7561, Tr Acc: 51.4286, Val Loss: 0.6988, Val Acc: 50.0000
Epoch 1501/100000, Tr Loss: 0.7630, Tr Acc: 52.8571, Val Loss: 0.6981, Val Acc: 46.6667
Epoch 1601/100000, Tr Loss: 0.7353, Tr Acc: 50.0000, Val Loss: 0.6974, Val Acc: 46.6667
Epoch 1701/100000, Tr Loss: 0.7049, Tr Acc: 51.4286, Val Loss: 0.6972, Val Acc: 46.6667
Epoch 1801/100000, Tr Loss: 0.8128, Tr Acc: 51.4286, Val Loss: 0.6966, Val Acc: 50.0000
Epoch 1901/100000, Tr Loss: 0.8443, Tr Acc: 41.4286, Val Loss: 0.6962, Val Acc: 50.0000
Epoch 2001/100000, Tr Loss: 0.7861, Tr Acc: 40.0000, Val Loss: 0.6957, Val Acc: 53.3333
Epoch 2101/100000, Tr Loss: 0.7608, Tr Acc: 54.2857, Val Loss: 0.6955, Val Acc: 53.3333
Epoch 2201/100000, Tr Loss: 0.7871, Tr Acc: 50.0000, Val Loss: 0.6951, Val Acc: 50.0000
Epoch 2301/100000, Tr Loss: 0.8224, Tr Acc: 50.0000, Val Loss: 0.6948, Val Acc: 50.0000
Epoch 2401/100000, Tr Loss: 0.7250, Tr Acc: 50.0000, Val Loss: 0.6945, Val Acc: 50.0000
Epoch 2501/100000, Tr Loss: 0.7354, Tr Acc: 55.7143, Val Loss: 0.6943, Val Acc: 50.0000
Epoch 2601/100000, Tr Loss: 0.7536, Tr Acc: 51.4286, Val Loss: 0.6941, Val Acc: 50.0000
Epoch 2701/100000, Tr Loss: 0.7828, Tr Acc: 50.0000, Val Loss: 0.6937, Val Acc: 46.6667
Epoch 2801/100000, Tr Loss: 0.7314, Tr Acc: 51.4286, Val Loss: 0.6935, Val Acc: 46.6667
Epoch 2901/100000, Tr Loss: 0.7072, Tr Acc: 54.2857, Val Loss: 0.6933, Val Acc: 46.6667
Epoch 3001/100000, Tr Loss: 0.7165, Tr Acc: 51.4286, Val Loss: 0.6931, Val Acc: 46.6667
Epoch 3101/100000, Tr Loss: 0.8065, Tr Acc: 47.1429, Val Loss: 0.6928, Val Acc: 46.6667
Epoch 3201/100000, Tr Loss: 0.7584, Tr Acc: 54.2857, Val Loss: 0.6928, Val Acc: 46.6667
Epoch 3301/100000, Tr Loss: 0.7515, Tr Acc: 57.1429, Val Loss: 0.6927, Val Acc: 46.6667
Epoch 3401/100000, Tr Loss: 0.7670, Tr Acc: 48.5714, Val Loss: 0.6925, Val Acc: 46.6667
